Title,Authors,PDF Link,Year
"Online Continual Learning with Maximal Interfered Retrieval","Rahaf Aljundi, Eugene Belilovsky, Tinne Tuytelaars, Laurent Charlin, Massimo Caccia, Min Lin, Lucas Page-Caccia","https://papers.nips.cc//paper_files/paper/2019/file/15825aee15eb335cc13f9b559f166ee8-AuthorFeedback.pdf","2019"
"Visualizing and Measuring the Geometry of BERT","Emily Reif, Ann Yuan, Martin Wattenberg, Fernanda B. Viegas, Andy Coenen, Adam Pearce, Been Kim","https://papers.nips.cc//paper_files/paper/2019/file/159c1ffe5b61b41b3c4d8f4c2150f6c4-AuthorFeedback.pdf","2019"
"Learning to Predict Without Looking Ahead: World Models Without Forward Prediction","Daniel Freeman, David Ha, Luke Metz","https://papers.nips.cc//paper_files/paper/2019/file/15cf76466b97264765356fcc56d801d1-AuthorFeedback.pdf","2019"
"Neural Mesh Flow: 3D Manifold Mesh Generation via Diffeomorphic Flows","Kunal Gupta, Manmohan Chandraker","https://papers.nips.cc//paper_files/paper/2020/file/1349b36b01e0e804a6c2909a6d0ec72a-AuthorFeedback.pdf","2020"
"Fast Training of Neural Lumigraph Representations using Meta Learning","Alexander Bergman, Petr Kellnhofer, Gordon Wetzstein","https://papers.nips.cc//paper_files/paper/2021/file/01931a6925d3de09e5f87419d9d55055-Paper.pdf","2021"
"Statistical control for spatio-temporal MEG/EEG source imaging with desparsified mutli-task Lasso","Jerome-Alexis Chevalier, Joseph Salmon, Alexandre Gramfort, Bertrand Thirion","https://papers.nips.cc//paper_files/paper/2020/file/1359aa933b48b754a2f54adb688bfa77-AuthorFeedback.pdf","2020"
"Deep Generalized Method of Moments for Instrumental Variable Analysis","Andrew Bennett, Nathan Kallus, Tobias Schnabel","https://papers.nips.cc//paper_files/paper/2019/file/15d185eaa7c954e77f5343d941e25fbd-AuthorFeedback.pdf","2019"
"Copulas as High-Dimensional Generative Models: Vine Copula Autoencoders","Natasa Tagasovska, Damien Ackerer, Thibault Vatter","https://papers.nips.cc//paper_files/paper/2019/file/15e122e839dfdaa7ce969536f94aecf6-AuthorFeedback.pdf","2019"
"PopSign ASL v1.0: An Isolated American Sign Language Dataset Collected via Smartphones","Thad Starner, Sean Forbes, Matthew So, David Martin, Rohit Sridhar, Gururaj Deshpande, Sam Sepah, Sahir Shahryar, Khushi Bhardwaj, Tyler Kwok, Daksh Sehgal, Saad Hassan, Bill Neubauer, Sofia Vempala, Alec Tan, Jocelyn Heath, Unnathi Kumar, Priyanka Mosur, Tavenner Hall, Rajandeep Singh, Christopher Cui, Glenn Cameron, Sohier Dane, Garrett Tanzer","https://papers.nips.cc//paper_files/paper/2023/file/00dada608b8db212ea7d9d92b24c68de-Paper-Datasets_and_Benchmarks.pdf","2023"
"Implicit Semantic Data Augmentation for Deep Networks","Yulin Wang, Xuran Pan, Shiji Song, Hong Zhang, Gao Huang, Cheng Wu","https://papers.nips.cc//paper_files/paper/2019/file/15f99f2165aa8c86c9dface16fefd281-AuthorFeedback.pdf","2019"
"q-means: A quantum algorithm for unsupervised machine learning","Iordanis Kerenidis, Jonas Landman, Alessandro Luongo, Anupam Prakash","https://papers.nips.cc//paper_files/paper/2019/file/16026d60ff9b54410b3435b403afd226-AuthorFeedback.pdf","2019"
"RUDDER: Return Decomposition for Delayed Rewards","Jose A. Arjona-Medina, Michael Gillhofer, Michael Widrich, Thomas Unterthiner, Johannes Brandstetter, Sepp Hochreiter","https://papers.nips.cc//paper_files/paper/2019/file/16105fb9cc614fc29e1bda00dab60d41-AuthorFeedback.pdf","2019"
"Learning-Based Low-Rank Approximations","Piotr Indyk, Ali Vakilian, Yang Yuan","https://papers.nips.cc//paper_files/paper/2019/file/1625abb8e458a79765c62009235e9d5b-AuthorFeedback.pdf","2019"
"Convergence Guarantees for Adaptive Bayesian Quadrature Methods","Motonobu Kanagawa, Philipp Hennig","https://papers.nips.cc//paper_files/paper/2019/file/165a59f7cf3b5c4396ba65953d679f17-AuthorFeedback.pdf","2019"
"A Scalable MIP-based Method for Learning Optimal Multivariate Decision Trees","Haoran Zhu, Pavankumar Murali, Dzung Phan, Lam Nguyen, Jayant Kalagnanam","https://papers.nips.cc//paper_files/paper/2020/file/1373b284bc381890049e92d324f56de0-AuthorFeedback.pdf","2020"
"A First-Order Algorithmic Framework for Distributionally Robust Logistic Regression","JIAJIN LI, SEN HUANG, Anthony Man-Cho So","https://papers.nips.cc//paper_files/paper/2019/file/169779d3852b32ce8b1a1724dbf5217d-AuthorFeedback.pdf","2019"
"Theoretical Analysis of Adversarial Learning: A Minimax Approach","Zhuozhuo Tu, Jingwei Zhang, Dacheng Tao","https://papers.nips.cc//paper_files/paper/2019/file/16bda725ae44af3bb9316f416bd13b1b-AuthorFeedback.pdf","2019"
"Compositional De-Attention Networks","Yi Tay, Anh Tuan Luu, Aston Zhang, Shuohang Wang, Siu Cheung Hui","https://papers.nips.cc//paper_files/paper/2019/file/16fc18d787294ad5171100e33d05d4e2-AuthorFeedback.pdf","2019"
"Robust Attribution Regularization","Jiefeng Chen, Xi Wu, Vaibhav Rastogi, Yingyu Liang, Somesh Jha","https://papers.nips.cc//paper_files/paper/2019/file/172ef5a94b4dd0aa120c6878fc29f70c-AuthorFeedback.pdf","2019"
"Zero-Shot Video Question Answering via Frozen Bidirectional Language Models","Antoine Yang, Antoine Miech, Josef Sivic, Ivan Laptev, Cordelia Schmid","https://papers.nips.cc//paper_files/paper/2022/file/00d1f03b87a401b1c7957e0cc785d0bc-Paper-Conference.pdf","2022"
"Semantic-Guided Multi-Attention Localization for Zero-Shot Learning","Yizhe Zhu, Jianwen Xie, Zhiqiang Tang, Xi Peng, Ahmed Elgammal","https://papers.nips.cc//paper_files/paper/2019/file/172fd0d638b3282151bd8f3d652cb640-AuthorFeedback.pdf","2019"
"Distributionally Robust Optimization and Generalization in Kernel Methods","Matthew Staib, Stefanie Jegelka","https://papers.nips.cc//paper_files/paper/2019/file/1770ae9e1b6bc9f5fd2841f141557ffb-AuthorFeedback.pdf","2019"
"Efficient Exact Verification of Binarized Neural Networks","Kai Jia, Martin Rinard","https://papers.nips.cc//paper_files/paper/2020/file/1385974ed5904a438616ff7bdb3f7439-AuthorFeedback.pdf","2020"
"Kernel Instrumental Variable Regression","Rahul Singh, Maneesh Sahani, Arthur Gretton","https://papers.nips.cc//paper_files/paper/2019/file/17b3c7061788dbe82de5abe9f6fe22b3-AuthorFeedback.pdf","2019"
"Metalearned Neural Memory","Tsendsuren Munkhdalai, Alessandro Sordoni, TONG WANG, Adam Trischler","https://papers.nips.cc//paper_files/paper/2019/file/182bd81ea25270b7d1c2fe8353d17fe6-AuthorFeedback.pdf","2019"
"Learning Bayesian Networks with Low Rank Conditional Probability Tables","Adarsh Barik, Jean Honorio","https://papers.nips.cc//paper_files/paper/2019/file/187acf7982f3c169b3075132380986e4-AuthorFeedback.pdf","2019"
"Active Learning with Neural Networks: Insights from Nonparametric Statistics","Yinglun Zhu, Robert Nowak","https://papers.nips.cc//paper_files/paper/2022/file/01025a4e79355bb37a10ba39605944b5-Paper-Conference.pdf","2022"
"Large Scale Adversarial Representation Learning","Jeff Donahue, Karen Simonyan","https://papers.nips.cc//paper_files/paper/2019/file/18cdf49ea54eec029238fcc95f76ce41-AuthorFeedback.pdf","2019"
"Ultra-Low Precision 4-bit Training of Deep Neural Networks","Xiao Sun, Naigang Wang, Chia-Yu Chen, Jiamin Ni, Ankur Agrawal, Xiaodong Cui, Swagath Venkataramani, Kaoutar El Maghraoui, Vijayalakshmi (Viji) Srinivasan, Kailash Gopalakrishnan","https://papers.nips.cc//paper_files/paper/2020/file/13b919438259814cd5be8cb45877d577-AuthorFeedback.pdf","2020"
"Hindsight Credit Assignment","Anna Harutyunyan, Will Dabney, Thomas Mesnard, Mohammad Gheshlaghi Azar, Bilal Piot, Nicolas Heess, Hado P. van Hasselt, Gregory Wayne, Satinder Singh, Doina Precup, Remi Munos","https://papers.nips.cc//paper_files/paper/2019/file/195f15384c2a79cedf293e4a847ce85c-AuthorFeedback.pdf","2019"
"Bridging the Gap between Sample-based and One-shot Neural Architecture Search with BONAS","Han Shi, Renjie Pi, Hang Xu, Zhenguo Li, James Kwok, Tong Zhang","https://papers.nips.cc//paper_files/paper/2020/file/13d4635deccc230c944e4ff6e03404b5-AuthorFeedback.pdf","2020"
"On Numerosity of Deep Neural Networks","Xi Zhang, Xiaolin Wu","https://papers.nips.cc//paper_files/paper/2020/file/13e36f06c66134ad65f532e90d898545-AuthorFeedback.pdf","2020"
"Zero-shot Learning via Simultaneous Generating and Learning","Hyeonwoo Yu, Beomhee Lee","https://papers.nips.cc//paper_files/paper/2019/file/19ca14e7ea6328a42e0eb13d585e4c22-AuthorFeedback.pdf","2019"
"Outlier Robust Mean Estimation with Subgaussian Rates via Stability","Ilias Diakonikolas, Daniel M. Kane, Ankit Pensia","https://papers.nips.cc//paper_files/paper/2020/file/13ec9935e17e00bed6ec8f06230e33a9-AuthorFeedback.pdf","2020"
"Self-Supervised Relationship Probing","Jiuxiang Gu, Jason Kuen, Shafiq Joty, Jianfei Cai, Vlad Morariu, Handong Zhao, Tong Sun","https://papers.nips.cc//paper_files/paper/2020/file/13f320e7b5ead1024ac95c3b208610db-AuthorFeedback.pdf","2020"
"Generalization Error Analysis of Quantized Compressive Learning","Xiaoyun Li, Ping Li","https://papers.nips.cc//paper_files/paper/2019/file/1a638db8311430c6c018bf21e1a0b7fb-AuthorFeedback.pdf","2019"
"Information Theoretic Counterfactual Learning from Missing-Not-At-Random Feedback","Zifeng Wang, Xi Chen, Rui Wen, Shao-Lun Huang, Ercan Kuruoglu, Yefeng Zheng","https://papers.nips.cc//paper_files/paper/2020/file/13f3cf8c531952d72e5847c4183e6910-AuthorFeedback.pdf","2020"
"Direct Optimization through $\arg \max$ for Discrete Variational Auto-Encoder","Guy Lorberbom, Andreea Gane, Tommi Jaakkola, Tamir Hazan","https://papers.nips.cc//paper_files/paper/2019/file/1a04f965818a8533f5613003c7db243d-AuthorFeedback.pdf","2019"
"Prophet Attention: Predicting Attention with Future Attention","Fenglin Liu, Xuancheng Ren, Xian Wu, Shen Ge, Wei Fan, Yuexian Zou, Xu Sun","https://papers.nips.cc//paper_files/paper/2020/file/13fe9d84310e77f13a6d184dbf1232f3-AuthorFeedback.pdf","2020"
"Language Models are Few-Shot Learners","Tom Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared D Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel Ziegler, Jeffrey Wu, Clemens Winter, Chris Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei","https://papers.nips.cc//paper_files/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-AuthorFeedback.pdf","2020"
"Margins are Insufficient for Explaining Gradient Boosting","Allan Grønlund, Lior Kamma, Kasper Green Larsen","https://papers.nips.cc//paper_files/paper/2020/file/146f7dd4c91bc9d80cf4458ad6d6cd1b-AuthorFeedback.pdf","2020"
"Successor Uncertainties: Exploration and Uncertainty in Temporal Difference Learning","David Janz, Jiri Hron, Przemysław Mazur, Katja Hofmann, José Miguel Hernández-Lobato, Sebastian Tschiatschek","https://papers.nips.cc//paper_files/paper/2019/file/1b113258af3968aaf3969ca67e744ff8-AuthorFeedback.pdf","2019"
"Fourier-transform-based attribution priors improve the interpretability and stability of deep learning models for genomics","Alex Tseng, Avanti Shrikumar, Anshul Kundaje","https://papers.nips.cc//paper_files/paper/2020/file/1487987e862c44b91a0296cf3866387e-AuthorFeedback.pdf","2020"
"MomentumRNN: Integrating Momentum into Recurrent Neural Networks","Tan Nguyen, Richard Baraniuk, Andrea Bertozzi, Stanley Osher, Bao Wang","https://papers.nips.cc//paper_files/paper/2020/file/149ef6419512be56a93169cd5e6fa8fd-AuthorFeedback.pdf","2020"
"Trivializations for Gradient-Based Optimization on Manifolds","Mario Lezcano Casado","https://papers.nips.cc//paper_files/paper/2019/file/1b33d16fc562464579b7199ca3114982-AuthorFeedback.pdf","2019"
"Marginal Utility for Planning in Continuous or Large Discrete Action Spaces","Zaheen Ahmad, Levi Lelis, Michael Bowling","https://papers.nips.cc//paper_files/paper/2020/file/14da15db887a4b50efe5c1bc66537089-AuthorFeedback.pdf","2020"
"On the Fairness of Disentangled Representations","Francesco Locatello, Gabriele Abbati, Thomas Rainforth, Stefan Bauer, Bernhard Schölkopf, Olivier Bachem","https://papers.nips.cc//paper_files/paper/2019/file/1b486d7a5189ebe8d8c46afc64b0d1b4-AuthorFeedback.pdf","2019"
"Projected Stein Variational Gradient Descent","Peng Chen, Omar Ghattas","https://papers.nips.cc//paper_files/paper/2020/file/14faf969228fc18fcd4fcf59437b0c97-AuthorFeedback.pdf","2020"
"When to use parametric models in reinforcement learning?","Hado P. van Hasselt, Matteo Hessel, John Aslanides","https://papers.nips.cc//paper_files/paper/2019/file/1b742ae215adf18b75449c6e272fd92d-AuthorFeedback.pdf","2019"
"Ouroboros: On Accelerating Training of Transformer-Based Language Models","Qian Yang, Zhouyuan Huo, Wenlin Wang, Lawrence Carin","https://papers.nips.cc//paper_files/paper/2019/file/1b79b52d1bf6f71b2b1eb7ca08ed0776-AuthorFeedback.pdf","2019"
"Minimax Lower Bounds for Transfer Learning with Linear and One-hidden Layer Neural Networks","Mohammadreza Mousavi Kalan, Zalan Fabian, Salman Avestimehr, Mahdi Soltanolkotabi","https://papers.nips.cc//paper_files/paper/2020/file/151d21647527d1079781ba6ae6571ffd-AuthorFeedback.pdf","2020"
"SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks","Fabian Fuchs, Daniel Worrall, Volker Fischer, Max Welling","https://papers.nips.cc//paper_files/paper/2020/file/15231a7ce4ba789d13b722cc5c955834-AuthorFeedback.pdf","2020"
"MonoForest framework for tree ensemble analysis","Igor Kuralenok, Vasilii Ershov, Igor Labutin","https://papers.nips.cc//paper_files/paper/2019/file/1b9a80606d74d3da6db2f1274557e644-AuthorFeedback.pdf","2019"
"IM-Loss: Information Maximization Loss for Spiking Neural Networks","Yufei Guo, Yuanpei Chen, Liwen Zhang, Xiaode Liu, Yinglei Wang, Xuhui Huang, Zhe Ma","https://papers.nips.cc//paper_files/paper/2022/file/010c5ba0cafc743fece8be02e7adb8dd-Paper-Conference.pdf","2022"
"On the equivalence of molecular graph convolution and molecular wave function with poor basis set","Masashi Tsubaki, Teruyasu Mizoguchi","https://papers.nips.cc//paper_files/paper/2020/file/1534b76d325a8f591b52d302e7181331-AuthorFeedback.pdf","2020"
"The Power of Predictions in Online Control","Chenkai Yu, Guanya Shi, Soon-Jo Chung, Yisong Yue, Adam Wierman","https://papers.nips.cc//paper_files/paper/2020/file/155fa09596c7e18e50b58eb7e0c6ccb4-AuthorFeedback.pdf","2020"
"Correlation Priors for Reinforcement Learning","Bastian Alt, Adrian Šošić, Heinz Koeppl","https://papers.nips.cc//paper_files/paper/2019/file/1bd2caf96a17d892c2c7e9959549cfc7-AuthorFeedback.pdf","2019"
"Learning Affordance Landscapes for Interaction Exploration in 3D Environments","Tushar Nagarajan, Kristen Grauman","https://papers.nips.cc//paper_files/paper/2020/file/15825aee15eb335cc13f9b559f166ee8-AuthorFeedback.pdf","2020"
"Push-pull Feedback Implements Hierarchical Information Retrieval Efficiently","Xiao Liu, Xiaolong Zou, Zilong Ji, Gengshuo Tian, Yuanyuan Mi, Tiejun Huang, K. Y. Michael Wong, Si Wu","https://papers.nips.cc//paper_files/paper/2019/file/1bd4b29a8e0afccd9923fe29cecb4b29-AuthorFeedback.pdf","2019"
"Cooperative Multi-player Bandit Optimization","Ilai Bistritz, Nicholas Bambos","https://papers.nips.cc//paper_files/paper/2020/file/15ae3b9d6286f1b2a489ea4f3f4abaed-AuthorFeedback.pdf","2020"
"Calibration tests in multi-class classification: A unifying framework","David Widmann, Fredrik Lindsten, Dave Zachariah","https://papers.nips.cc//paper_files/paper/2019/file/1c336b8080f82bcc2cd2499b4c57261d-AuthorFeedback.pdf","2019"
"Joint Optimization of Tree-based Index and Deep Model for Recommender Systems","Han Zhu, Daqing Chang, Ziru Xu, Pengye Zhang, Xiang Li, Jie He, Han Li, Jian Xu, Kun Gai","https://papers.nips.cc//paper_files/paper/2019/file/1c6a0198177bfcc9bd93f6aab94aad3c-AuthorFeedback.pdf","2019"
"Tight First- and Second-Order Regret Bounds for Adversarial Linear Bandits","Shinji Ito, Shuichi Hirahara, Tasuku Soma, Yuichi Yoshida","https://papers.nips.cc//paper_files/paper/2020/file/15bb63b28926cd083b15e3b97567bbea-AuthorFeedback.pdf","2020"
"Accurate Uncertainty Estimation and Decomposition in Ensemble Learning","Jeremiah Liu, John Paisley, Marianthi-Anna Kioumourtzoglou, Brent Coull","https://papers.nips.cc//paper_files/paper/2019/file/1cc8a8ea51cd0adddf5dab504a285915-AuthorFeedback.pdf","2019"
"Globally Optimal Learning for Structured Elliptical Losses","Yoav Wald, Nofar Noy, Gal Elidan, Ami Wiesel","https://papers.nips.cc//paper_files/paper/2019/file/1cd035a313edec52ac8f69c27aba683f-AuthorFeedback.pdf","2019"
"Just Pick a Sign: Optimizing Deep Multitask Models with Gradient Sign Dropout","Zhao Chen, Jiquan Ngiam, Yanping Huang, Thang Luong, Henrik Kretzschmar, Yuning Chai, Dragomir Anguelov","https://papers.nips.cc//paper_files/paper/2020/file/16002f7a455a94aa4e91cc34ebdb9f2d-AuthorFeedback.pdf","2020"
"Analytical Study of Momentum-Based Acceleration Methods in Paradigmatic High-Dimensional Non-Convex Problems","Stefano Sarao Mannelli, Pierfrancesco Urbani","https://papers.nips.cc//paper_files/paper/2021/file/019f8b946a256d9357eadc5ace2c8678-Paper.pdf","2021"
"A Loss Function for Generative Neural Networks Based on Watson’s Perceptual Model","Steffen Czolbe, Oswin Krause, Ingemar Cox, Christian Igel","https://papers.nips.cc//paper_files/paper/2020/file/165a59f7cf3b5c4396ba65953d679f17-AuthorFeedback.pdf","2020"
"MixMatch: A Holistic Approach to Semi-Supervised Learning","David Berthelot, Nicholas Carlini, Ian Goodfellow, Nicolas Papernot, Avital Oliver, Colin A. Raffel","https://papers.nips.cc//paper_files/paper/2019/file/1cd138d0499a68f4bb72bee04bbec2d7-AuthorFeedback.pdf","2019"
"Preventing Gradient Attenuation in Lipschitz Constrained Convolutional Networks","Qiyang Li, Saminul Haque, Cem Anil, James Lucas, Roger B. Grosse, Joern-Henrik Jacobsen","https://papers.nips.cc//paper_files/paper/2019/file/1ce3e6e3f452828e23a0c94572bef9d9-AuthorFeedback.pdf","2019"
"Dynamic Fusion of Eye Movement Data and Verbal Narrations in Knowledge-rich Domains","Ervine Zheng, Qi Yu, Rui Li, Pengcheng Shi, Anne Haake","https://papers.nips.cc//paper_files/paper/2020/file/16837163fee34175358a47e0b51485ff-AuthorFeedback.pdf","2020"
"Scalable Multi-Agent Reinforcement Learning for Networked Systems with Average Reward","Guannan Qu, Yiheng Lin, Adam Wierman, Na Li","https://papers.nips.cc//paper_files/paper/2020/file/168efc366c449fab9c2843e9b54e2a18-AuthorFeedback.pdf","2020"
"Learning to Confuse: Generating Training Time Adversarial Data with Auto-Encoder","Ji Feng, Qi-Zhi Cai, Zhi-Hua Zhou","https://papers.nips.cc//paper_files/paper/2019/file/1ce83e5d4135b07c0b82afffbe2b3436-AuthorFeedback.pdf","2019"
"Optimizing Neural Networks via Koopman Operator Theory","Akshunna S. Dogra, William Redman","https://papers.nips.cc//paper_files/paper/2020/file/169806bb68ccbf5e6f96ddc60c40a044-AuthorFeedback.pdf","2020"
"Invariance-inducing regularization using worst-case transformations suffices to boost accuracy and spatial robustness","Fanny Yang, Zuowen Wang, Christina Heinze-Deml","https://papers.nips.cc//paper_files/paper/2019/file/1d01bd2e16f57892f0954902899f0692-AuthorFeedback.pdf","2019"
"SVGD as a kernelized Wasserstein gradient flow of the chi-squared divergence","Sinho Chewi, Thibaut Le Gouic, Chen Lu, Tyler Maunu, Philippe Rigollet","https://papers.nips.cc//paper_files/paper/2020/file/16f8e136ee5693823268874e58795216-AuthorFeedback.pdf","2020"
"Adversarial Robustness of Supervised Sparse Coding","Jeremias Sulam, Ramchandran Muthukumar, Raman Arora","https://papers.nips.cc//paper_files/paper/2020/file/170f6aa36530c364b77ddf83a84e7351-AuthorFeedback.pdf","2020"
"Attentive State-Space Modeling of Disease Progression","Ahmed M. Alaa, Mihaela van der Schaar","https://papers.nips.cc//paper_files/paper/2019/file/1d0932d7f57ce74d9d9931a2c6db8a06-AuthorFeedback.pdf","2019"
"Differentiable Meta-Learning of Bandit Policies","Craig Boutilier, Chih-wei Hsu, Branislav Kveton, Martin Mladenov, Csaba Szepesvari, Manzil Zaheer","https://papers.nips.cc//paper_files/paper/2020/file/171ae1bbb81475eb96287dd78565b38b-AuthorFeedback.pdf","2020"
"Provable Adversarial Robustness for Group Equivariant Tasks: Graphs, Point Clouds, Molecules, and More","Jan Schuchardt, Yan Scholten, Stephan Günnemann","https://papers.nips.cc//paper_files/paper/2023/file/00db17c36b5435195760520efa96d99c-Paper-Conference.pdf","2023"
"On two ways to use determinantal point processes for Monte Carlo integration","Guillaume Gautier, Rémi Bardenet, Michal Valko","https://papers.nips.cc//paper_files/paper/2019/file/1d54c76f48f146c3b2d66daf9d7f845e-AuthorFeedback.pdf","2019"
"ADDIS: an adaptive discarding algorithm for online FDR control with conservative nulls","Jinjin Tian, Aaditya Ramdas","https://papers.nips.cc//paper_files/paper/2019/file/1d6408264d31d453d556c60fe7d0459e-AuthorFeedback.pdf","2019"
"Biologically Inspired Mechanisms for Adversarial Robustness","Manish Reddy Vuyyuru, Andrzej Banburski, Nishka Pant, Tomaso Poggio","https://papers.nips.cc//paper_files/paper/2020/file/17256f049f1e3fede17c7a313f7657f4-AuthorFeedback.pdf","2020"
"Second Thoughts are Best: Learning to Re-Align With Human Values from Text Edits","Ruibo Liu, Chenyan Jia, Ge Zhang, Ziyu Zhuang, Tony Liu, Soroush Vosoughi","https://papers.nips.cc//paper_files/paper/2022/file/01c4593d60a020fed5607944330106b1-Paper-Conference.pdf","2022"
"Controllable Text-to-Image Generation","Bowen Li, Xiaojuan Qi, Thomas Lukasiewicz, Philip Torr","https://papers.nips.cc//paper_files/paper/2019/file/1d72310edc006dadf2190caad5802983-AuthorFeedback.pdf","2019"
"Exploring Algorithmic Fairness in Robust Graph Covering Problems","Aida Rahmattalabi, Phebe Vayanos, Anthony Fulginiti, Eric Rice, Bryan Wilder, Amulya Yadav, Milind Tambe","https://papers.nips.cc//paper_files/paper/2019/file/1d7c2aae840867027b7edd17b6aaa0e9-AuthorFeedback.pdf","2019"
"Statistical-Query Lower Bounds via Functional Gradients","Surbhi Goel, Aravind Gollakota, Adam Klivans","https://papers.nips.cc//paper_files/paper/2020/file/17257e81a344982579af1ae6415a7b8c-AuthorFeedback.pdf","2020"
"Fast Convergence of Natural Gradient Descent for Over-Parameterized Neural Networks","Guodong Zhang, James Martens, Roger B. Grosse","https://papers.nips.cc//paper_files/paper/2019/file/1da546f25222c1ee710cf7e2f7a3ff0c-AuthorFeedback.pdf","2019"
"Near-Optimal Reinforcement Learning with Self-Play","Yu Bai, Chi Jin, Tiancheng Yu","https://papers.nips.cc//paper_files/paper/2020/file/172ef5a94b4dd0aa120c6878fc29f70c-AuthorFeedback.pdf","2020"
"Network Diffusions via Neural Mean-Field Dynamics","Shushan He, Hongyuan Zha, Xiaojing Ye","https://papers.nips.cc//paper_files/paper/2020/file/1730f69e6f66d5f0c741799e82351f81-AuthorFeedback.pdf","2020"
"Self-Distillation as Instance-Specific Label Smoothing","Zhilu Zhang, Mert Sabuncu","https://papers.nips.cc//paper_files/paper/2020/file/1731592aca5fb4d789c4119c65c10b4b-AuthorFeedback.pdf","2020"
"Towards Problem-dependent Optimal Learning Rates","Yunbei Xu, Assaf Zeevi","https://papers.nips.cc//paper_files/paper/2020/file/174f8f613332b27e9e8a5138adb7e920-AuthorFeedback.pdf","2020"
"Reducing the variance in online optimization by transporting past gradients","Sébastien Arnold, Pierre-Antoine Manzagol, Reza Babanezhad Harikandeh, Ioannis Mitliagkas, Nicolas Le Roux","https://papers.nips.cc//paper_files/paper/2019/file/1dba5eed8838571e1c80af145184e515-AuthorFeedback.pdf","2019"
"Cross-lingual Retrieval for Iterative Self-Supervised Training","Chau Tran, Yuqing Tang, Xian Li, Jiatao Gu","https://papers.nips.cc//paper_files/paper/2020/file/1763ea5a7e72dd7ee64073c2dda7a7a8-AuthorFeedback.pdf","2020"
"Deep Multi-State Dynamic Recurrent Neural Networks Operating on Wavelet Based Neural Features for Robust Brain Machine Interfaces","Benyamin Allahgholizadeh Haghi, Spencer Kellis, Sahil Shah, Maitreyi Ashok, Luke Bashford, Daniel Kramer, Brian Lee, Charles Liu, Richard Andersen, Azita Emami","https://papers.nips.cc//paper_files/paper/2019/file/1e0feeaff84a19bf3936e693311fa66d-AuthorFeedback.pdf","2019"
"Rethinking pooling in graph neural networks","Diego Mesquita, Amauri Souza, Samuel Kaski","https://papers.nips.cc//paper_files/paper/2020/file/1764183ef03fc7324eb58c3842bd9a57-AuthorFeedback.pdf","2020"
"Using natural language and program abstractions to instill human inductive biases in machines","Sreejan Kumar, Carlos G. Correa, Ishita Dasgupta, Raja Marjieh, Michael Y Hu, Robert Hawkins, Jonathan D Cohen, nathaniel daw, Karthik Narasimhan, Tom Griffiths","https://papers.nips.cc//paper_files/paper/2022/file/0113ef4642264adc2e6924a3cbbdf532-Paper-Conference.pdf","2022"
"Gradient Regularized V-Learning for Dynamic Treatment Regimes","Yao Zhang, Mihaela van der Schaar","https://papers.nips.cc//paper_files/paper/2020/file/17b3c7061788dbe82de5abe9f6fe22b3-AuthorFeedback.pdf","2020"
"Pointer Graph Networks","Petar Veličković, Lars Buesing, Matthew Overlan, Razvan Pascanu, Oriol Vinyals, Charles Blundell","https://papers.nips.cc//paper_files/paper/2020/file/176bf6219855a6eb1f3a30903e34b6fb-AuthorFeedback.pdf","2020"
"Graph Normalizing Flows","Jenny Liu, Aviral Kumar, Jimmy Ba, Jamie Kiros, Kevin Swersky","https://papers.nips.cc//paper_files/paper/2019/file/1e44fdf9c44d7328fecc02d677ed704d-AuthorFeedback.pdf","2019"
"Cascaded Dilated Dense Network with Two-step Data Consistency for MRI Reconstruction","Hao Zheng, Faming Fang, Guixu Zhang","https://papers.nips.cc//paper_files/paper/2019/file/1e48c4420b7073bc11916c6c1de226bb-AuthorFeedback.pdf","2019"
"Faster Wasserstein Distance Estimation with the Sinkhorn Divergence","Lénaïc Chizat, Pierre Roussillon, Flavien Léger, François-Xavier Vialard, Gabriel Peyré","https://papers.nips.cc//paper_files/paper/2020/file/17f98ddf040204eda0af36a108cbdea4-AuthorFeedback.pdf","2020"
"Forethought and Hindsight in Credit Assignment","Veronica Chelu, Doina Precup, Hado P. van Hasselt","https://papers.nips.cc//paper_files/paper/2020/file/18064d61b6f93dab8681a460779b8429-AuthorFeedback.pdf","2020"
"Neural networks grown and self-organized by noise","Guruprasad Raghavan, Matt Thomson","https://papers.nips.cc//paper_files/paper/2019/file/1e6e0a04d20f50967c64dac2d639a577-AuthorFeedback.pdf","2019"
"SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery","Yezhen Cong, Samar Khanna, Chenlin Meng, Patrick Liu, Erik Rozi, Yutong He, Marshall Burke, David Lobell, Stefano Ermon","https://papers.nips.cc//paper_files/paper/2022/file/01c561df365429f33fcd7a7faa44c985-Paper-Conference.pdf","2022"
