Title,Authors,PDF Link,Year
"Asymmetric Valleys: Beyond Sharp and Flat Local Minima","Haowei He, Gao Huang, Yang Yuan","https://papers.nips.cc//paper_files/paper/2019/file/01d8bae291b1e4724443375634ccfa0e-AuthorFeedback.pdf","2019"
"PyGlove: Symbolic Programming for Automated Machine Learning","Daiyi Peng, Xuanyi Dong, Esteban Real, Mingxing Tan, Yifeng Lu, Gabriel Bender, Hanxiao Liu, Adam Kraft, Chen Liang, Quoc Le","https://papers.nips.cc//paper_files/paper/2020/file/012a91467f210472fab4e11359bbfef6-AuthorFeedback.pdf","2020"
"Calculating Optimistic Likelihoods Using (Geodesically) Convex Optimization","Viet Anh Nguyen, Soroosh Shafieezadeh Abadeh, Man-Chung Yue, Daniel Kuhn, Wolfram Wiesemann","https://papers.nips.cc//paper_files/paper/2019/file/021e1ea77bd91aaa0fc4d01a943a654e-AuthorFeedback.pdf","2019"
"Fourier Sparse Leverage Scores and Approximate Kernel Learning","Tamas Erdelyi, Cameron Musco, Christopher Musco","https://papers.nips.cc//paper_files/paper/2020/file/012d9fe15b2493f21902cd55603382ec-AuthorFeedback.pdf","2020"
"Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds","Nicholas Harvey, Christopher Liaw, Tasuku Soma","https://papers.nips.cc//paper_files/paper/2020/file/0163cceb20f5ca7b313419c068abd9dc-AuthorFeedback.pdf","2020"
"Adversarially Robust Streaming Algorithms via Differential Privacy","Avinatan Hasidim, Haim Kaplan, Yishay Mansour, Yossi Matias, Uri Stemmer","https://papers.nips.cc//paper_files/paper/2020/file/0172d289da48c48de8c5ebf3de9f7ee1-AuthorFeedback.pdf","2020"
"Synbols: Probing Learning Algorithms with Synthetic Datasets","Alexandre Lacoste, Pau Rodríguez López, Frederic Branchaud-Charron, Parmida Atighehchian, Massimo Caccia, Issam Hadj Laradji, Alexandre Drouin, Matthew Craddock, Laurent Charlin, David Vázquez","https://papers.nips.cc//paper_files/paper/2020/file/0169cf885f882efd795951253db5cdfb-AuthorFeedback.pdf","2020"
"Think out of the "Box": Generically-Constrained Asynchronous Composite Optimization and Hedging","Pooria Joulani, András György, Csaba Szepesvari","https://papers.nips.cc//paper_files/paper/2019/file/0224cd598e48c5041c7947fd5cb20d53-AuthorFeedback.pdf","2019"
"Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering","Long Chen, Yuan Yao, Feng Xu, Miao Xu, Hanghang Tong","https://papers.nips.cc//paper_files/paper/2020/file/019fa4fdf1c04cf73ba25aa2223769cd-AuthorFeedback.pdf","2020"
"UniDoc: Unified Pretraining Framework for Document Understanding","Jiuxiang Gu, Jason Kuen, Vlad I Morariu, Handong Zhao, Rajiv Jain, Nikolaos Barmpalios, Ani Nenkova, Tong Sun","https://papers.nips.cc//paper_files/paper/2021/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf","2021"
